Feature Set,RMSE,MAE,MAPE,Directional Accuracy
WTI_Only,1.0840297076231804,0.7238113523039768,1.205752339293908,0.32857142857142857
MSCI,1.0930014514092439,0.7376792964309494,1.2261055392153413,0.3357142857142857
GPR,1.0991889248063924,0.7457291391674695,1.2428965123553868,0.33
OVX,1.0998111986802712,0.7443440601386968,1.2401460815508696,0.3314285714285714
INV,1.1048004255956074,0.7353137616254122,1.2263844509426405,0.3314285714285714
OVX+MSCI,1.1176181000271859,0.771644659328052,1.2788715437840854,0.33
AMEX+OVX+MSCI,1.118682414284999,0.7556631478433431,1.2581579432945305,0.33714285714285713
GPR+AMEX+INV,1.1371330879627592,0.7845209212582047,1.2997589644949243,0.33
AMEX+MSCI,1.1390741493214855,0.7967656567365392,1.3155385905957873,0.32
GPR+INV,1.1441190325534227,0.7794482852865046,1.3055038039952176,0.32857142857142857
GPR+AMEX+INV+OVX+MSCI,1.1538922158335498,0.8067744191124839,1.3447768612138806,0.33714285714285713
AMEX,1.1618263917209906,0.7987314432663852,1.3313477957976996,0.31857142857142856
GPR+AMEX+MSCI,1.1733260606931077,0.8168950917547334,1.3559012880542376,0.32
GPR+AMEX+INV+OVX,1.2061440102372747,0.8556627057520361,1.4116802030637219,0.3242857142857143
AMEX+OVX,1.249737091171621,0.8837726792187217,1.4715131289103682,0.3157142857142857
GPR+MSCI,1.283111988361261,0.9116382756688964,1.5188565028634204,0.31285714285714283
INV+MSCI,1.4788306359013483,1.1154733879317904,1.858978856384395,0.3242857142857143
GPR+AMEX,1.5342716772476928,1.1382450953767913,1.892015492049078,0.31857142857142856
