Model,Feature Set,RMSE,MAE,MAPE,Directional Accuracy
RF,AMEX+OVX,2.6699318955927684,1.9957943448276094,3.1051914488479655,0.3770718232044199
RF,OVX,2.745246279885953,1.9314100689655305,3.0097360493931435,0.3425414364640884
RF,GPR+AMEX+INV+OVX,2.7660830812640667,2.055076275862092,3.1938015179137302,0.3632596685082873
RF,INV,2.778520921951869,2.0163080000000195,3.1249840007437446,0.3356353591160221
RF,GPR+INV,2.8230485667118574,2.069236965517256,3.208651996483197,0.35082872928176795
RF,GPR+AMEX+INV,2.8588749441960255,2.133890620689672,3.315786957635833,0.3314917127071823
RF,GPR,2.8745503863555206,2.0574976551724324,3.2021923684644924,0.34668508287292815
RF,AMEX,2.9014990577737847,2.1496833103448436,3.3386637327251862,0.3370165745856354
RF,OVX+MSCI,2.930284141529062,2.0895790344827816,3.2307249613608544,0.3383977900552486
RF,AMEX+OVX+MSCI,2.948895436728618,2.1740415172414127,3.366162615775133,0.3715469613259669
RF,GPR+AMEX,2.994549254081051,2.212534068965537,3.4324006908461193,0.35359116022099446
RF,WTI_Only,3.041856313367303,2.129440827586223,3.3035461602478335,0.3411602209944751
RF,GPR+AMEX+INV+OVX+MSCI,3.0471628673356324,2.222993241379334,3.436631291118058,0.3453038674033149
RF,INV+MSCI,3.050258727267104,2.161681793103472,3.3361215919528155,0.3397790055248619
RF,AMEX+MSCI,3.1108270386085564,2.256684413793126,3.4919196693394827,0.3397790055248619
RF,MSCI,3.1252245764778066,2.2010401379310633,3.3970331410691648,0.35082872928176795
RF,GPR+AMEX+MSCI,3.1809030403374114,2.3018695172414074,3.56056685486235,0.35220994475138123
RF,GPR+MSCI,3.2316258238358775,2.2814875862069197,3.5189565528335445,0.35220994475138123
