Model,Feature Set,RMSE,MAE,MAPE,Directional Accuracy
XGB,OVX,2.3101669499915496,1.579305825700431,2.471694581688749,0.38812154696132595
XGB,GPR,2.3445694935040815,1.6434575757256868,2.597634441745547,0.32734806629834257
XGB,WTI_Only,2.674121438568286,1.8366117259058456,2.8838580407659116,0.3383977900552486
XGB,AMEX,2.733106624122874,1.903309480022562,2.9600378843938886,0.3798342541436464
XGB,GPR+AMEX,2.8672961045890557,1.9693067104997304,3.059954617730317,0.38950276243093923
XGB,GPR+INV,3.1758835215265084,2.1691638029953526,3.3459401568688882,0.32320441988950277
XGB,AMEX+OVX,3.209946698663406,2.195653455642174,3.3636124169796195,0.4088397790055249
XGB,MSCI,3.253161848466764,2.3276199425006734,3.6029013907458296,0.3411602209944751
XGB,GPR+AMEX+INV+OVX,3.2714928736938274,2.3410337907462284,3.600413219646301,0.39640883977900554
XGB,GPR+AMEX+MSCI,3.2801728334059157,2.2791887720568424,3.5091019204250022,0.393646408839779
XGB,GPR+MSCI,3.300192832511759,2.2967380920410156,3.548030469211599,0.3453038674033149
XGB,INV+MSCI,3.3012399824018797,2.3185502721326103,3.5646704200557044,0.3687845303867403
XGB,GPR+AMEX+INV,3.3094443209527435,2.3496146076070854,3.61942351870845,0.38950276243093923
XGB,AMEX+OVX+MSCI,3.3594638897388633,2.3453237372036635,3.5949032430081242,0.3867403314917127
XGB,GPR+AMEX+INV+OVX+MSCI,3.442471313182219,2.404399347134294,3.6989656116298524,0.38812154696132595
XGB,INV,3.5325872288313325,2.5169331593480604,3.865115620458855,0.3397790055248619
XGB,AMEX+MSCI,3.7128678080103885,2.578117412067281,3.94866186561196,0.39226519337016574
XGB,OVX+MSCI,3.85222179954466,2.6998136741901266,4.127190699261545,0.40193370165745856
