Date,MSCI
31/12/2009,1168.468
29/01/2010,1119.537
26/02/2010,1133.348
31/03/2010,1200.53
30/04/2010,1198.564
31/05/2010,1079.801
30/06/2010,1041.323
30/07/2010,1124.826
31/08/2010,1080.699
30/09/2010,1179.194
29/10/2010,1222.226
30/11/2010,1193.558
31/12/2010,1280.071
31/01/2011,1308.083
28/02/2011,1351.647
31/03/2011,1334.925
29/04/2011,1388.62
31/05/2011,1354.607
30/06/2011,1331.182
29/07/2011,1306.054
31/08/2011,1211.224
30/09/2011,1104.065
31/10/2011,1217.296
30/11/2011,1184.604
30/12/2011,1182.595
31/01/2012,1240.894
29/02/2012,1298.72
30/03/2012,1312.011
30/04/2012,1293.991
31/05/2012,1177.645
29/06/2012,1235.716
31/07/2012,1250.569
31/08/2012,1279.208
28/09/2012,1311.504
31/10/2012,1301.522
30/11/2012,1315.493
31/12/2012,1338.5
31/01/2013,1405.466
28/02/2013,1405.18
29/03/2013,1434.515
30/04/2013,1476.139
31/05/2013,1471.933
28/06/2013,1433.548
31/07/2013,1507.913
30/08/2013,1472.738
30/09/2013,1543.672
31/10/2013,1602.86
29/11/2013,1628.424
31/12/2013,1661.069
31/01/2014,1598.456
28/02/2014,1675.4
31/03/2014,1673.874
30/04/2014,1687.742
30/05/2014,1715.184
30/06/2014,1743.415
31/07/2014,1714.353
29/08/2014,1748.688
30/09/2014,1698.408
31/10/2014,1708.092
28/11/2014,1739.497
31/12/2014,1709.672
30/01/2015,1677.537
27/02/2015,1772.862
31/03/2015,1740.814
30/04/2015,1778.4
29/05/2015,1779.307
30/06/2015,1735.613
31/07/2015,1765.604
31/08/2015,1645.43
30/09/2015,1581.922
30/10/2015,1705.803
30/11/2015,1694.397
31/12/2015,1662.794
29/01/2016,1562.178
29/02/2016,1547.174
31/03/2016,1648.118
29/04/2016,1670.796
31/05/2016,1674.613
30/06/2016,1653.229
29/07/2016,1721.788
31/08/2016,1719.524
30/09/2016,1725.665
31/10/2016,1690.922
30/11/2016,1712.089
30/12/2016,1751.219
31/01/2017,1792.403
28/02/2017,1838.699
31/03/2017,1853.69
28/04/2017,1878.276
31/05/2017,1911.74
30/06/2017,1916.426
31/07/2017,1961.1
31/08/2017,1959.743
29/09/2017,2000.553
31/10/2017,2036.804
30/11/2017,2077.36
29/12/2017,2103.448
31/01/2018,2213.238
28/02/2018,2117.993
30/03/2018,2066.845
30/04/2018,2086.514
31/05/2018,2092.923
29/06/2018,2089.301
31/07/2018,2153.096
31/08/2018,2175.498
28/09/2018,2184.009
31/10/2018,2021.982
30/11/2018,2041.359
31/12/2018,1883.901
31/01/2019,2028.492
28/02/2019,2085.845
29/03/2019,2107.742
30/04/2019,2178.674
31/05/2019,2046.246
28/06/2019,2178.347
31/07/2019,2187.564
30/08/2019,2138.521
30/09/2019,2180.018
31/10/2019,2233.526
29/11/2019,2292.259
31/12/2019,2358.468
